sentence_id,words,labels
732,014,O
732,-,O
732,076,O
732,15,B-EL
732,時,I-EL
732,30,I-EL
732,分,I-EL
732,頃,I-EL
732,に,I-EL
732,、,I-EL
732,製造,I-EL
732,事業,I-EL
732,所,I-EL
732,製油,I-EL
732,一,I-EL
732,課,I-EL
732,員,I-EL
732,が,I-EL
732,日常,I-EL
732,点検,I-EL
732,において,I-EL
732,窒素,I-EL
732,供給,I-EL
732,設備,I-EL
732,液化,I-EL
732,窒素,I-EL
732,貯槽,I-EL
732,の,I-EL
732,受入,I-EL
732,液化,I-EL
732,窒素,I-EL
732,上部,I-EL
732,充てん,I-EL
732,弁,I-EL
732,下流,I-EL
732,の,I-EL
732,配管,I-EL
732,より,I-EL
732,窒素,I-EL
732,ガス,I-EL
732,が,I-EL
732,漏れ,I-EL
732,て,I-EL
732,いる,I-EL
732,の,I-EL
732,を,I-EL
732,発見,I-EL
732,し,I-EL
732,た,I-EL
732,。,O
732,ただちに,O
732,直,O
732,長,O
732,(,O
732,保安,O
732,係員,O
732,),O
732,に,O
732,連絡,O
732,し,O
732,た,O
732,。,O
732,15,O
732,時,O
732,35,O
732,分,O
732,頃,O
732,、,O
732,製油,O
732,一,O
732,課,O
732,直,O
732,長,O
732,(,O
732,保安,O
732,係員,O
732,),O
732,は,O
732,当該,O
732,漏えい,O
732,部位,O
732,を,O
732,確認,O
732,後,O
732,、,O
732,製油,O
732,一,O
732,課,O
732,課長,O
732,(,O
732,保安,O
732,主任,O
732,者,O
732,),O
732,に,O
732,連絡,O
732,し,O
732,、,O
732,当該,O
732,配管,O
732,の,O
732,孤立,O
732,および,O
732,脱,O
732,圧,O
732,を,O
732,行っ,O
732,た,O
732,(,O
732,漏れ,O
732,止め,O
732,用,O
732,の,O
732,応急,O
732,処置,O
732,バンド,O
732,を,O
732,取り付け,O
732,た,O
732,)。,O
732,15,O
732,時,O
732,40,O
732,分,O
732,頃,O
732,に,O
732,、,O
732,製油,O
732,一,O
732,課,O
732,課長,O
732,が,O
732,安全,O
732,環境,O
732,室,O
732,に,O
732,連絡,O
732,し,O
732,た,O
732,。,O
732,当該,B-C
732,配管,I-C
732,は,I-C
732,設置,I-C
732,から,I-C
732,約,I-C
732,39,I-C
732,年,I-C
732,使用,I-C
732,し,I-C
732,て,I-C
732,おり,I-C
732,、,I-C
732,年間,I-C
732,約,I-C
732,360,I-C
732,回,I-C
732,、,I-C
732,液体,I-C
732,窒素,I-C
732,を,I-C
732,受け入れ,I-C
732,て,I-C
732,いる,I-C
732,。,O
732,原因,O
732,は,O
732,、,O
732,低温,B-C
732,の,I-C
732,窒素,I-C
732,通,I-C
732,液,I-C
732,(,I-C
732,約,I-C
732,-,I-C
732,190,I-C
732,℃),I-C
732,と,I-C
732,停止,I-C
732,(,I-C
732,常温,I-C
732,:,I-C
732,約,I-C
732,20,I-C
732,℃),I-C
732,の,I-C
732,温度,I-C
732,サイクル,I-C
732,(,I-C
732,約,I-C
732,14,I-C
732,千,I-C
732,回,I-C
732,),I-C
732,に,I-C
732,伴う,I-C
732,繰り返し,I-C
732,応力,I-C
732,により,I-C
732,、,I-C
732,熱,I-C
732,疲労,I-C
732,割れ,I-C
732,が,I-C
732,進展,I-C
732,し,I-C
732,た,I-C
732,もの,I-C
732,と,I-C
732,推定,I-C
732,さ,I-C
732,れる,I-C
732,。,O
732,今後,O
732,は,O
732,、,O
732,液化,O
732,窒素,O
732,貯槽類,O
732,似,O
732,部位,O
732,の,O
732,非破壊,O
732,検査,O
732,(,O
732,PT,O
732,),O
732,を,O
732,実施,O
732,する,O
732,。,O
732,また,O
732,、,O
732,類似,O
732,の,O
732,銅,O
732,配管,O
732,について,O
732,は,O
732,、,O
732,熱,O
732,疲労,O
732,サイクル,O
732,の,O
732,管理,O
732,による,O
732,寿命,O
732,管理,O
732,と,O
732,検査,O
732,を,O
732,併せ,O
732,て,O
732,行っ,O
732,て,O
732,いく,O
732,こと,O
732,と,O
732,する,O
732,。,O
751,011,O
751,-,O
751,350,O
751,エチレン,O
751,製造,O
751,装置,O
751,を,O
751,定常,O
751,運転,O
751,中,O
751,、,O
751,プロピレン,O
751,水,O
751,添反応,O
751,系,O
751,リサイクル,O
751,ポンプ,O
751,周辺,O
751,の,O
751,ガス,O
751,漏えい,O
751,検知,O
751,器,O
751,が,O
751,発,O
751,報,O
751,し,O
751,た,O
751,。,O
751,ただちに,O
751,、,O
751,直,B-EL
751,長,I-EL
751,及び,I-EL
751,直,I-EL
751,長,I-EL
751,補佐,I-EL
751,が,I-EL
751,現場,I-EL
751,を,I-EL
751,確認,I-EL
751,し,I-EL
751,た,I-EL
751,ところ,I-EL
751,、,I-EL
751,ポンプ,I-EL
751,の,I-EL
751,メカニカル,I-EL
751,シール,I-EL
751,部,I-EL
751,より,I-EL
751,プロピレン,I-EL
751,が,I-EL
751,漏えい,I-EL
751,し,I-EL
751,て,I-EL
751,いる,I-EL
751,こと,I-EL
751,を,I-EL
751,発見,I-EL
751,し,I-EL
751,た,I-EL
751,ため,I-EL
751,、,O
751,装置,O
751,を,O
751,緊急,O
751,停止,O
751,さ,O
751,せ,O
751,た,O
751,。,O
751,原因,O
751,は,O
751,、,O
751,メカニカル,B-C
751,シール,I-C
751,部,I-C
751,の,I-C
751,ネックブッシング,I-C
751,に,I-C
751,プロセス,I-C
751,から,I-C
751,の,I-C
751,スケール,I-C
751,が,I-C
751,付着,I-C
751,し,I-C
751,、,I-C
751,メカニカル,I-C
751,シール,I-C
751,内,I-C
751,の,I-C
751,プロピレン,I-C
751,量,I-C
751,が,I-C
751,減少,I-C
751,し,I-C
751,、,I-C
751,内圧,I-C
751,が,I-C
751,上昇,I-C
751,、,I-C
751,これ,I-C
751,に,I-C
751,伴い,I-C
751,シール,I-C
751,部,I-C
751,の,I-C
751,冷却,I-C
751,効果,I-C
751,が,I-C
751,減少,I-C
751,し,I-C
751,、,I-C
751,シール,I-C
751,部,I-C
751,固定,I-C
751,環,I-C
751,摺,I-C
751,動,I-C
751,面,I-C
751,に,I-C
751,複数,I-C
751,の,I-C
751,小規模,I-C
751,な,I-C
751,剥離,I-C
751,穴,I-C
751,が,I-C
751,発生,I-C
751,、,I-C
751,そこ,I-C
751,に,I-C
751,スケール,I-C
751,が,I-C
751,噛み,I-C
751,込み,I-C
751,、,I-C
751,摺,I-C
751,動,I-C
751,面,I-C
751,が,I-C
751,開口,I-C
751,状態,I-C
751,と,I-C
751,なっ,I-C
751,た,I-C
751,ため,I-C
751,と,I-C
751,推定,I-C
751,さ,I-C
751,れる,I-C
751,。,O
751,今後,O
751,は,O
751,、,O
751,メカニカル,O
751,シール,O
751,の,O
751,点検,O
751,を,O
751,1,O
751,年,O
751,毎,O
751,に,O
751,実施,O
751,する,O
751,。,O
751,また,O
751,、,O
751,直近,O
751,に,O
751,漏えい,O
751,検知,O
751,器,O
751,を,O
751,設置,O
751,する,O
751,。,O
485,017,O
485,-,O
485,071,O
485,2,O
485,月,O
485,14,O
485,日,O
485,、,O
485,油,O
485,ポンプ,O
485,の,O
485,不具合,O
485,の,O
485,ため,O
485,に,O
485,冷凍,O
485,設備,O
485,の,O
485,運転,O
485,を,O
485,停止,O
485,し,O
485,た,O
485,。,O
485,2,O
485,月,O
485,16,O
485,日,O
485,、,O
485,油,O
485,ポンプ,O
485,の,O
485,補修,O
485,が,O
485,完了,O
485,し,O
485,た,O
485,。,O
485,2,O
485,月,O
485,26,O
485,日,O
485,、,O
485,冷凍,O
485,設備,O
485,を,O
485,再,O
485,起動,O
485,する,O
485,も,O
485,、,O
485,吸い込み,O
485,圧低下,O
485,の,O
485,ため,O
485,、,O
485,起動,O
485,不可,O
485,と,O
485,なっ,O
485,た,O
485,。,O
485,3,B-C
485,月,I-C
485,2,I-C
485,日,I-C
485,、,I-C
485,窒素,I-C
485,気密,I-C
485,テスト,I-C
485,の,I-C
485,結果,I-C
485,、,I-C
485,圧縮,I-C
485,機,I-C
485,入口,I-C
485,側,I-C
485,計,I-C
485,器用,I-C
485,の,I-C
485,銅,I-C
485,配管,I-C
485,に,I-C
485,ピン,I-C
485,ホール,I-C
485,が,I-C
485,発見,I-C
485,さ,I-C
485,れ,I-C
485,た,I-C
485,。,O
485,冷媒,B-EL
485,ガス,I-EL
485,全量,I-EL
485,(,I-EL
485,150,I-EL
485,kg,I-EL
485,),I-EL
485,が,I-EL
485,漏えい,I-EL
485,し,I-EL
485,た,I-EL
485,もの,I-EL
485,と,I-EL
485,思わ,I-EL
485,れる,I-EL
485,。,O
485,原因,O
485,は,O
485,、,O
485,圧縮,B-C
485,機,I-C
485,の,I-C
485,配管,I-C
485,を,I-C
485,固定,I-C
485,し,I-C
485,て,I-C
485,い,I-C
485,た,I-C
485,ボルト,I-C
485,が,I-C
485,緩ん,I-C
485,で,I-C
485,外れ,I-C
485,た,I-C
485,結果,I-C
485,、,I-C
485,当該,I-C
485,配管,I-C
485,が,I-C
485,振動,I-C
485,により,I-C
485,付近,I-C
485,に,I-C
485,あっ,I-C
485,た,I-C
485,圧縮,I-C
485,機,I-C
485,入口,I-C
485,側,I-C
485,計,I-C
485,器用,I-C
485,の,I-C
485,銅,I-C
485,配管,I-C
485,と,I-C
485,接触,I-C
485,を,I-C
485,繰り返し,I-C
485,た,I-C
485,ため,I-C
485,、,I-C
485,銅,I-C
485,配管,I-C
485,が,I-C
485,摩耗,I-C
485,し,I-C
485,て,I-C
485,ピン,I-C
485,ホール,I-C
485,が,I-C
485,発生,I-C
485,し,I-C
485,、,O
485,冷媒,B-EL
485,ガス,I-EL
485,が,I-EL
485,漏えい,I-EL
485,し,I-EL
485,た,I-EL
485,もの,I-EL
485,と,I-EL
485,推定,I-EL
485,さ,I-EL
485,れる,I-EL
485,。,O
485,県,O
485,へ,O
485,通報,O
485,し,O
485,た,O
485,。,O
109,014,O
109,-,O
109,104,O
109,ガス,O
109,検知,O
109,器,O
109,が,O
109,作動,O
109,し,O
109,た,O
109,ため,O
109,、,O
109,運転,O
109,員,O
109,が,O
109,現場,O
109,巡回,O
109,し,O
109,た,O
109,。,O
109,VA,B-EL
109,(,I-EL
109,酢酸,I-EL
109,ビニル,I-EL
109,),I-EL
109,の,I-EL
109,臭い,I-EL
109,が,I-EL
109,し,I-EL
109,た,I-EL
109,ので,I-EL
109,更に,I-EL
109,詳細,I-EL
109,な,I-EL
109,点検,I-EL
109,を,I-EL
109,行っ,I-EL
109,た,I-EL
109,ところ,I-EL
109,、,I-EL
109,No,I-EL
109,.,I-EL
109,2,I-EL
109,オイルカラムリボイラー,I-EL
109,より,I-EL
109,エチレン,I-EL
109,が,I-EL
109,漏えい,I-EL
109,し,I-EL
109,て,I-EL
109,いる,I-EL
109,の,I-EL
109,を,I-EL
109,発見,I-EL
109,し,I-EL
109,た,I-EL
109,。,O
109,その後,B-EL
109,VA,I-EL
109,も,I-EL
109,漏えい,I-EL
109,し,I-EL
109,た,I-EL
109,ので,I-EL
109,、,O
109,リボイラー,O
109,を,O
109,孤立,O
109,し,O
109,て,O
109,内部,O
109,の,O
109,圧力,O
109,を,O
109,ブロー,O
109,弁,O
109,で,O
109,放出,O
109,し,O
109,、,O
109,漏えい,O
109,が,O
109,停止,O
109,し,O
109,た,O
109,。,O
109,公設,O
109,消防,O
109,へ,O
109,連絡,O
109,し,O
109,、,O
109,漏えい,O
109,停止,O
109,の,O
109,確認,O
109,を,O
109,受け,O
109,た,O
109,。,O
109,リボイラー,B-C
109,の,I-C
109,液,I-C
109,面,I-C
109,レベル,I-C
109,が,I-C
109,過度,I-C
109,に,I-C
109,低下,I-C
109,し,I-C
109,た,I-C
109,ため,I-C
109,、,I-C
109,熱,I-C
109,バランス,I-C
109,が,I-C
109,崩れ,I-C
109,、,I-C
109,低温,I-C
109,の,I-C
109,エチレン,I-C
109,により,I-C
109,リボイラー,I-C
109,上部,I-C
109,の,I-C
109,温度,I-C
109,が,I-C
109,急激,I-C
109,に,I-C
109,低下,I-C
109,し,I-C
109,た,I-C
109,。,O
109,原因,O
109,は,O
109,、,O
109,温度,B-C
109,下降,I-C
109,により,I-C
109,本体,I-C
109,上部,I-C
109,フランジ,I-C
109,部,I-C
109,が,I-C
109,収縮,I-C
109,し,I-C
109,、,I-C
109,それ,I-C
109,に,I-C
109,伴い,I-C
109,固定,I-C
109,ボルト,I-C
109,の,I-C
109,締め付け,I-C
109,力,I-C
109,が,I-C
109,低下,I-C
109,し,I-C
109,、,I-C
109,ガス,I-C
109,ケット,I-C
109,へ,I-C
109,の,I-C
109,荷重,I-C
109,不足,I-C
109,によって,I-C
109,フランジ,I-C
109,部,I-C
109,の,I-C
109,シール,I-C
109,能力,I-C
109,が,I-C
109,損なわ,I-C
109,れ,I-C
109,、,O
109,漏えい,B-EL
109,に,I-EL
109,至っ,I-EL
109,た,I-EL
109,と,I-EL
109,推定,I-EL
109,さ,I-EL
109,れる,I-EL
109,。,O
109,事故,O
109,調査,O
109,の,O
109,結果,O
109,、,O
109,一部,B-C
109,の,I-C
109,ボルト,I-C
109,の,I-C
109,締め付け,I-C
109,トルク,I-C
109,が,I-C
109,規定,I-C
109,値,I-C
109,より,I-C
109,低い,I-C
109,こと,I-C
109,が,I-C
109,確認,I-C
109,さ,I-C
109,れ,I-C
109,た,I-C
109,。,O
109,施工,B-C
109,時,I-C
109,の,I-C
109,トルク,I-C
109,値,I-C
109,管理,I-C
109,が,I-C
109,適切,I-C
109,に,I-C
109,行わ,I-C
109,れ,I-C
109,て,I-C
109,い,I-C
109,なかっ,I-C
109,た,I-C
109,ため,I-C
109,、,I-C
109,今回,I-C
109,の,I-C
109,温度,I-C
109,低下,I-C
109,で,I-C
109,は,I-C
109,漏えい,B-EL
109,に,I-EL
109,至っ,I-EL
109,た,I-EL
109,もの,I-EL
109,と,I-EL
109,考え,I-EL
109,られる,I-EL
109,。,O
190,021,O
190,-,O
190,502,O
190,残,O
190,油,O
190,脱硫,O
190,装置,O
190,を,O
190,巡回,O
190,中,O
190,に,O
190,漏洩,O
190,筒,O
190,所,O
190,付近,O
190,で,O
190,携帯,O
190,式,O
190,ガス,O
190,検知,O
190,器,O
190,の,O
190,アラーム,O
190,が,O
190,発,O
190,報,O
190,し,O
190,、,O
190,異変,O
190,に,O
190,気付い,O
190,た,O
190,。,O
190,点検,B-EL
190,し,I-EL
190,た,I-EL
190,結果,I-EL
190,、,I-EL
190,オフガス,I-EL
190,配管,I-EL
190,から,I-EL
190,の,I-EL
190,ガス,I-EL
190,漏えい,I-EL
190,を,I-EL
190,覚,I-EL
190,知,I-EL
190,し,I-EL
190,た,I-EL
190,。,O
162,020,O
162,-,O
162,457,O
162,9,O
162,月,O
162,1,O
162,日,O
162,20,O
162,時,O
162,頃,O
162,、,O
162,操業,O
162,員,O
162,が,O
162,メラミン,O
162,合成,O
162,施設,O
162,の,O
162,逆,O
162,止,O
162,弁,O
162,付近,O
162,で,O
162,アンモニア,O
162,臭,O
162,が,O
162,感じ,O
162,られ,O
162,た,O
162,ため,O
162,、,O
162,周辺,O
162,の,O
162,調査,O
162,を,O
